#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,031  ,1500 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,8780.2,0,,0
2025,031  ,1500 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,38464.98,0,,31122.21
2025,031  ,1500 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,47182.47,0,,32235.61
2025,031  ,1500 ,12006  ,TRIENNIS                                          ,,1    ,1     ,17730.49,0,,15080.81
2025,031  ,1500 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,173493.32,0,,130756.72
2025,031  ,1500 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,1000,0,,1568.96
2025,031  ,1500 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,1000,0,,577.64
2025,031  ,1501 ,12005  ,SOUS DEL GRUP E                                   ,,1    ,1     ,18265.07,0,,11030.17
2025,031  ,1501 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,6794.97,0,,4328.02
2025,031  ,1501 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,331574.14,0,,171082.57
2025,031  ,1321 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,65160.14,0,,44091.4
2025,031  ,1532 ,226991 ,ALTRES DESPESES EXECUCIONS SUBSIDIÀRIES           ,031,1532 ,226991,13700,9495.87,,13176.9
2025,031  ,1532 ,619    ,INVERSIO MILLORA ESPAI PUBLIC                     ,031,1532 ,619   ,874839.82,43511.43,,391071.12
2025,031  ,160  ,22700  ,"CLAVEGUERAM, CONT PREST SERVEIS                   ",031,16   ,22    ,1319816,-1314038.98,,5777.02
2025,031  ,171  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,58059.66,0,,19349.71
2025,031  ,171  ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,475,0,,0
2025,031  ,171  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,21530.64,0,,-1097.41
2025,031  ,920  ,22101  ,CONSUM AIGUA EDIFICIS MPALS                       ,,9    ,221   ,45920,0,,15037.86
2025,032  ,161  ,44901  ,TRANSF CORRENTS REBUTS APSA FAMILIES VULNERABLES  ,032,161  ,44901 ,25000,0,,24993.92
2025,032  ,170  ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,1    ,1     ,83092.21,0,,60118.3
2025,032  ,170  ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,23162.7,0,,11379.7
2025,032  ,170  ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,30073.92,0,,16218.33
2025,032  ,170  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,62625.5,0,,33845.74
2025,032  ,170  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,149333.52,-15000,,78146.2
2025,032  ,170  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,201127.46,0,,137863.01
2025,044  ,231  ,22199  ,SUBMINISTRAMENT AREA                              ,044,23   ,22    ,2000,4785.55,,7241.85
2025,031  ,1501 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,5000,0,,6536.83
2025,051  ,2411 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,2    ,1     ,40418.14,3036,,29206.86
2025,051  ,2411 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,2    ,1     ,99100.96,8629,,72522.58
2025,051  ,2411 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,2    ,1     ,122852.09,6966,,67039.57
2025,051  ,2412 ,12006  ,TRIENNIS                                          ,051,2412 ,12006 ,48768.38,615.69,,38252.91
2025,051  ,2412 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,051,2412 ,12100 ,124978.3,69447,,120654.75
2025,051  ,2412 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL            ,051,2412 ,13000 ,170398.98,2600,,123758.19
