#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,051  ,2412 ,48911  ,BEQUES ALUMNES PROGRAMES                          ,051,2412 ,48911 ,100,0,,0
2025,051  ,2413 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,051,2413 ,16000 ,169388.71,0,,18727.48
2025,051  ,2413 ,48901  ,TR CORRENTS EMPRESA INSERCIO SAOPRAT SL           ,051,2413 ,48901 ,155000,66000,,159000
2025,051  ,2413 ,48902  ,TR. CORRENTS FUNDACIO CASSIA JUST                 ,051,2413 ,48902 ,62000,24800,,62000
2025,044  ,231  ,22102  ,CONSUM GAS EDIFICIS SERVEIS SOCIALS               ,,2    ,221   ,14639,869.69,,5451.53
2025,051  ,2413 ,48903  ,TR CORRENTS CPS FRANCESC PALAU                    ,051,2413 ,48903 ,95000,38000,,95000
2025,051  ,2413 ,48904  ,TRANSF CORRENTS GATS (LABESOC)                    ,051,2413 ,48904 ,20000,40000,,40000
2025,051  ,2413 ,48905  ,TR CORR FUNDACIO CATALANA DE L'ESPLAI             ,051,2413 ,48905 ,70000,28000,,28000
2025,051  ,2413 ,48906  ,"TRANSF CORRENTS, AJUTS A LA CONTRACTACIÓ          ",051,2413 ,48906 ,140000,159000,,76405.98
2025,051  ,2413 ,48912  ,TRANSF CORRENTS ECONOMIA SOCIAL I COOPERATIVA     ,051,2413 ,48912 ,40000,12318,,7715.08
2025,051  ,2413 ,48915  ,TRANSF CORRENTS COOPERATIVA OBRERA DE VIVENDES    ,051,2413 ,48915 ,11000,4400,,11000
2025,051  ,2413 ,48917  ,TRANSF CORRENTS COOPERATIVA AGRÍCOLA              ,051,2413 ,48917 ,40000,16000,,16000
2025,051  ,2413 ,48918  ,TRANSF CORRENTS FUNDACIÓ SEIRA                    ,051,2413 ,48918 ,100,0,,0
2025,051  ,2413 ,48920  ,TRANSF CORRENTS E I ES IM-PERFECT FOOD S.L.       ,051,2413 ,48920 ,100000,0,,60000
2025,051  ,2414 ,1430   ,PLANS OCUPACIO SOC                                ,051,2414 ,1430  ,56021,598216.25,,363774.77
2025,051  ,2414 ,16000  ,QUOTES SEGURETAT SOCIAL SOC                       ,051,2414 ,16000 ,18693.12,210915.82,,89796.08
2025,051  ,2415 ,1430   ,PLANS OCUPACIÓ AMB                                ,051,2415 ,1430  ,18000,47900,,0
2025,051  ,2415 ,16000  ,QUOTES SEGURETAT AMB                              ,051,2415 ,16000 ,8156.5,16100,,0
2025,051  ,2416 ,1430   ,PLANS OCUPACIO DIPUTACIÓ                          ,051,2416 ,1430  ,18000,144248.1,,35893.32
2025,051  ,2416 ,16000  ,QUOTES SEGURETAT SOCIAL DIBA                      ,051,2416 ,16000 ,8156.5,52170.2,,7276.98
2025,051  ,433  ,12001  ,SOUS DEL GRUP A2                                  ,,4    ,1     ,72904.84,0,,28699.97
2025,051  ,433  ,12003  ,SOUS DEL GRUP C1                                  ,,4    ,1     ,41393.22,0,,20276.86
2025,051  ,433  ,12006  ,TRIENNIS                                          ,,4    ,1     ,16851.9,0,,8794.64
2025,051  ,433  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,4    ,1     ,47718.92,0,,21148.34
